name,math,english,physical,c++,java,python
lugmpb,28,79,85,11,18,4
tcbvom,57,94,15,68,35,86
jgyamb,72,13,77,81,85,78
xosvzay,76,32,81,58,2,6
erchzovjm,58,27,46,23,88,72
fwmxeicr,78,8,46,86,43,62
rjsuolpf,15,42,12,37,31,21
uexsa,34,59,50,91,75,56
djsnmhtez,19,84,96,18,67,96
xztcurdse,58,9,79,30,35,84
hdpkxnw,53,54,78,20,6,52
haqeior,51,90,52,34,67,77
jxqvbhm,72,91,100,5,91,70
bmlna,47,47,4,77,98,44
tkyuexl,45,27,24,65,77,52
cypxhqguws,8,53,30,33,85,42
pwgzryx,91,31,23,18,3,62
ixvyfes,73,26,10,24,23,37
twvre,59,51,35,35,47,88
yphbv,79,36,65,11,99,48
vfigrou,31,15,87,74,68,67
wirlgz,22,87,22,45,85,7
fauiqc,17,17,95,26,23,34
sqdampoku,19,28,46,84,67,52
lwpnatfxvo,30,65,30,44,16,33
sbjhylmpug,54,73,14,76,81,32
zsacrvinq,43,14,58,8,61,99
owrdyecjq,6,49,75,94,67,16
rwtka,66,23,1,63,21,92
qjneytg,91,49,24,87,73,20
